timestamp,open,high,low,close,volume
2016-06-07,300.11,300.11,300.11,300.11,0
2016-06-08,300.34,300.34,300.34,300.34,0
2016-06-09,300.56,300.56,300.56,300.56,0
2016-06-10,296.04,296.04,296.04,296.04,0
2016-06-13,293.24,293.24,293.24,293.24,0
2016-06-14,293.31,293.31,293.31,293.31,0
2016-06-15,292.07,292.07,292.07,292.07,0
2016-06-16,294.12,294.12,294.12,294.12,0
2016-06-17,293.9,293.9,293.9,293.9,0
2016-06-20,298.23,298.23,298.23,298.23,0
2016-06-21,299.5,299.5,299.5,299.5,0
2016-06-23,298.68,298.68,298.68,298.68,0
2016-06-24,293.05,293.05,293.05,293.05,0
2016-06-29,298.59,298.59,298.59,298.59,0
2016-06-30,302.91,302.91,302.91,302.91,0
2016-07-01,302.08,302.08,302.08,302.08,0
2016-07-05,298.43,298.43,298.43,298.43,0
2016-07-06,298.51,298.51,298.51,298.51,0
2016-07-07,297.66,297.66,297.66,297.66,0
2016-07-08,303.37,303.37,303.37,303.37,0
2016-07-11,305.63,305.63,305.63,305.63,0
2016-07-12,306.1,306.1,306.1,306.1,0
2016-07-13,306.96,306.96,306.96,306.96,0
2016-07-14,307.69,307.69,307.69,307.69,0
2016-07-15,308.15,308.15,308.15,308.15,0
2016-07-18,308.0,308.0,308.0,308.0,0
2016-07-19,308.63,308.63,308.63,308.63,0
2016-07-20,310.73,310.73,310.73,310.73,0
2016-07-21,309.34,309.34,309.34,309.34,0
2016-07-22,310.68,310.68,310.68,310.68,0
2016-07-25,310.07,310.07,310.07,310.07,0
2016-07-26,312.2,312.2,312.2,312.2,0
2016-07-27,312.0,312.0,312.0,312.0,0
2016-07-28,310.68,310.68,310.68,310.68,0
2016-07-29,309.07,309.07,309.07,309.07,0
2016-08-02,304.17,304.17,304.17,304.17,0
2016-08-03,304.31,304.31,304.31,304.31,0
2016-08-04,305.41,305.41,305.41,305.41,0
2016-08-05,309.16,309.16,309.16,309.16,0
2016-08-08,308.34,308.34,308.34,308.34,0
2016-08-09,309.22,309.22,309.22,309.22,0
